interface,field,recommendation,type,optional,comment,export_modifier,extends,readonly,filepath,line_number
UpdateApplicationCommandInput,forceHttps,🔄 RENAME: isForceHttps (boolean should have is/has/can prefix),boolean,true,converted from ENABLED|DISABLED to boolean,export,ApplicationId,false,src/clients/cc-api/commands/application/update-application-command.types.d.ts,16
UpdateApplicationCommandInput,homogeneous,🔄 RENAME: isHomogeneous (boolean should have is/has/can prefix),boolean,true,,export,ApplicationId,false,src/clients/cc-api/commands/application/update-application-command.types.d.ts,17
UpdateApplicationCommandInput,instanceLifetime,✅ KEEP,ApplicationLifetime,true,,export,ApplicationId,false,src/clients/cc-api/commands/application/update-application-command.types.d.ts,18
UpdateApplicationCommandInput,maxFlavor,✅ KEEP,string,true,,export,ApplicationId,false,src/clients/cc-api/commands/application/update-application-command.types.d.ts,19
UpdateApplicationCommandInput,maxInstances,✅ KEEP,number,true,,export,ApplicationId,false,src/clients/cc-api/commands/application/update-application-command.types.d.ts,20
UpdateApplicationCommandInput,minFlavor,✅ KEEP,string,true,,export,ApplicationId,false,src/clients/cc-api/commands/application/update-application-command.types.d.ts,21
UpdateApplicationCommandInput,minInstances,✅ KEEP,number,true,,export,ApplicationId,false,src/clients/cc-api/commands/application/update-application-command.types.d.ts,22
UpdateApplicationCommandInput,name,📝 CLARIFY: too generic,string,true,,export,ApplicationId,false,src/clients/cc-api/commands/application/update-application-command.types.d.ts,23
UpdateApplicationCommandInput,separateBuild,🔄 RENAME: isSeparateBuild (boolean should have is/has/can prefix),boolean,true,,export,ApplicationId,false,src/clients/cc-api/commands/application/update-application-command.types.d.ts,24
UpdateApplicationCommandInput,shutdownable,🔄 RENAME: canShutdown (boolean should have is/has/can prefix),boolean,true,,export,ApplicationId,false,src/clients/cc-api/commands/application/update-application-command.types.d.ts,25
UpdateApplicationCommandInput,stickySessions,🔄 RENAME: isStickySessions (boolean should have is/has/can prefix),boolean,true,,export,ApplicationId,false,src/clients/cc-api/commands/application/update-application-command.types.d.ts,26
UpdateApplicationCommandInput,tags,✅ KEEP,Array<string>,true,,export,ApplicationId,false,src/clients/cc-api/commands/application/update-application-command.types.d.ts,27
UpdateApplicationCommandInput,zone,✅ KEEP,string,true,,export,ApplicationId,false,src/clients/cc-api/commands/application/update-application-command.types.d.ts,28
UpdateApplicationBranchCommandInput,branch,✅ KEEP,string,false,,export,ApplicationId,false,src/clients/cc-api/commands/application/update-application-command.types.d.ts,37
ConfirmAuthMfaCommandInput,kind,✅ KEEP,MFAKind,false,,export,,false,src/clients/cc-api/commands/auth/confirm-auth-mfa-command.types.d.ts,4
ConfirmAuthMfaCommandInput,code,✅ KEEP,string,false,,export,,false,src/clients/cc-api/commands/auth/confirm-auth-mfa-command.types.d.ts,5
ConfirmAuthMfaCommandInput,password,✅ KEEP,string,false,,export,,false,src/clients/cc-api/commands/auth/confirm-auth-mfa-command.types.d.ts,6
ConfirmAuthMfaCommandInput,revokeTokens,🔄 RENAME: isRevokeTokens (boolean should have is/has/can prefix),boolean,true,,export,,false,src/clients/cc-api/commands/auth/confirm-auth-mfa-command.types.d.ts,7
CreateAuthMfaCommandInput,kind,✅ KEEP,MFAKind,false,,export,,false,src/clients/cc-api/commands/auth/create-auth-mfa-command.types.d.ts,4
CreateAuthMfaCommandInput,password,✅ KEEP,string,false,,export,,false,src/clients/cc-api/commands/auth/create-auth-mfa-command.types.d.ts,5
CreateAuthMfaCommandOutput,url,📝 CLARIFY: too generic,string,false,,export,,false,src/clients/cc-api/commands/auth/create-auth-mfa-command.types.d.ts,9
DeleteAuthMfaCommandInput,kind,✅ KEEP,MFAKind,false,,export,,false,src/clients/cc-api/commands/auth/delete-auth-mfa-command.types.d.ts,4
DeleteAuthMfaCommandInput,password,✅ KEEP,string,false,,export,,false,src/clients/cc-api/commands/auth/delete-auth-mfa-command.types.d.ts,5
GetAuthMfaBackupCodesCommandInput,kind,✅ KEEP,MFAKind,false,,export,,false,src/clients/cc-api/commands/auth/get-auth-mfa-backup-codes-command.types.d.ts,4
GetAuthMfaBackupCodesCommandInput,password,✅ KEEP,string,false,,export,,false,src/clients/cc-api/commands/auth/get-auth-mfa-backup-codes-command.types.d.ts,5
UpdateAuthPasswordCommandInput,oldPassword,✅ KEEP,string,false,,export,,false,src/clients/cc-api/commands/auth/update-auth-password-command.types.d.ts,2
UpdateAuthPasswordCommandInput,newPassword,✅ KEEP,string,false,,export,,false,src/clients/cc-api/commands/auth/update-auth-password-command.types.d.ts,3
UpdateAuthPasswordCommandInput,revokeTokens,🔄 RENAME: isRevokeTokens (boolean should have is/has/can prefix),boolean,true,renamed from dropTokens,export,,false,src/clients/cc-api/commands/auth/update-auth-password-command.types.d.ts,5
Backup,commands,✅ KEEP,BackupCommands,true,,export,BackupBase,false,src/clients/cc-api/commands/backup/backup.types.d.ts,2
BackupBase,backupId,✅ KEEP,string,false,renamed from backup_id,export,,false,src/clients/cc-api/commands/backup/backup.types.d.ts,7
BackupBase,entityId,✅ KEEP,string,false,renamed from entity_id,export,,false,src/clients/cc-api/commands/backup/backup.types.d.ts,9
BackupBase,status,"📝 REVIEW: use status"" for operational/lifecycle",string,false,,export,,false,src/clients/cc-api/commands/backup/backup.types.d.ts,10
BackupBase,downloadUrl,✅ KEEP,string,false,renamed from download_url (or from link for elasticsearch addons),export,,false,src/clients/cc-api/commands/backup/backup.types.d.ts,16
BackupCommands,restoreCommand,✅ KEEP,string,true,,export,,false,src/clients/cc-api/commands/backup/backup.types.d.ts,20
BackupCommands,password,✅ KEEP,string,true,,export,,false,src/clients/cc-api/commands/backup/backup.types.d.ts,21
BackupCommands,deleteCommand,✅ KEEP,string,true,,export,,false,src/clients/cc-api/commands/backup/backup.types.d.ts,22
ListBackupCommandInput,withCommands,🔄 RENAME: isWithCommands (boolean should have is/has/can prefix),boolean,true,,export,AddonId,false,src/clients/cc-api/commands/backup/list-backup-command.types.d.ts,5
InnerBackup,restoreCommand,✅ KEEP (already renamed from API format),string,true,renamed from restore_command,export,BackupBase,false,src/clients/cc-api/commands/backup/list-backup-command.types.d.ts,14
InnerBackup,deleteCommand,✅ KEEP (already renamed from API format),string,true,renamed from delete_command,export,BackupBase,false,src/clients/cc-api/commands/backup/list-backup-command.types.d.ts,16
GetAddonDetailsInnerCommandInput,addonProviderId,✅ KEEP,string,false,,export,,false,src/clients/cc-api/commands/backup/list-backup-command.types.d.ts,20
GetAddonDetailsInnerCommandInput,addonId,✅ KEEP,string,false,,export,,false,src/clients/cc-api/commands/backup/list-backup-command.types.d.ts,21
GetAddonDetailsInnerCommandOutput,id,✅ KEEP (primary identifier),string,false,,export,,false,src/clients/cc-api/commands/backup/list-backup-command.types.d.ts,25
GetAddonDetailsInnerCommandOutput,providerId,✅ KEEP,string,false,,export,,false,src/clients/cc-api/commands/backup/list-backup-command.types.d.ts,26
GetAddonDetailsInnerCommandOutput,host,✅ KEEP,string,false,,export,,false,src/clients/cc-api/commands/backup/list-backup-command.types.d.ts,27
GetAddonDetailsInnerCommandOutput,port,✅ KEEP,number,false,,export,,false,src/clients/cc-api/commands/backup/list-backup-command.types.d.ts,28
GetAddonDetailsInnerCommandOutput,user,✅ KEEP,string,false,,export,,false,src/clients/cc-api/commands/backup/list-backup-command.types.d.ts,29
GetAddonDetailsInnerCommandOutput,password,✅ KEEP,string,false,,export,,false,src/clients/cc-api/commands/backup/list-backup-command.types.d.ts,30
GetAddonDetailsInnerCommandOutput,database,✅ KEEP,string,false,,export,,false,src/clients/cc-api/commands/backup/list-backup-command.types.d.ts,31
GetConfigProviderCommandInput,addonId,✅ KEEP,string,false,,export,,false,src/clients/cc-api/commands/config-provider/get-config-provider-command.types.d.ts,4
UpdateConfigProviderCommandInput,addonId,✅ KEEP,string,false,,export,,false,src/clients/cc-api/commands/config-provider/update-config-provider-command.types.d.ts,4
UpdateConfigProviderCommandInput,environment,🔄 RENAME: environments (array should be plural),Array<EnvironmentVariable>,false,,export,,false,src/clients/cc-api/commands/config-provider/update-config-provider-command.types.d.ts,5
ActivateCouponCommandInput,ownerId,✅ KEEP,string,false,,export,,false,src/clients/cc-api/commands/credits/activate-coupon-command.types.d.ts,4
ActivateCouponCommandInput,couponName,✅ KEEP,string,false,,export,,false,src/clients/cc-api/commands/credits/activate-coupon-command.types.d.ts,5
Credits,prepaidCredit,✅ KEEP,number,false,,export,,false,src/clients/cc-api/commands/credits/credits.types.d.ts,2
Credits,freeCredit,✅ KEEP,number,false,,export,,false,src/clients/cc-api/commands/credits/credits.types.d.ts,3
Credits,currency,✅ KEEP,string,false,,export,,false,src/clients/cc-api/commands/credits/credits.types.d.ts,4
CouponUsage,couponName,✅ KEEP (already renamed from API format),string,false,renamed from coupon_name,export,,false,src/clients/cc-api/commands/credits/credits.types.d.ts,9
CouponUsage,usageDate,🔄 RENAME: usedAt (standardize to 'At' suffix),string,false,,export,,false,src/clients/cc-api/commands/credits/credits.types.d.ts,10
CouponUsage,freeCreditsStartDate,🔄 RENAME: freeCreditsStartAt (standardize to 'At' suffix),string,false,,export,,false,src/clients/cc-api/commands/credits/credits.types.d.ts,11
CouponUsage,freeCreditsEndDate,🔄 RENAME: freeCreditsEndAt (standardize to 'At' suffix),string,false,,export,,false,src/clients/cc-api/commands/credits/credits.types.d.ts,12
