field,recommendation,filepath,type,optional,comment,line_number,export_modifier,extends,readonly,interface
supportEmail,✅ KEEP,src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts,string,false,,10,export,,false,AddonProvider
googlePlusName,✅ KEEP,src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts,string,false,,11,export,,false,AddonProvider
twitterName,✅ KEEP,src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts,string,false,,12,export,,false,AddonProvider
analyticsId,✅ KEEP,src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts,string,false,,13,export,,false,AddonProvider
shortDesc,🔄 RENAME: shortDescription (avoid abbreviating description),src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts,string,false,,14,export,,false,AddonProvider
longDesc,🔄 RENAME: networkGroup* (ng is unclear),src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts,string,false,,15,export,,false,AddonProvider
logoUrl,✅ KEEP,src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts,string,false,,16,export,,false,AddonProvider
status,"📝 REVIEW: use status"" for operational/lifecycle",src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts,AddonProviderStatus,false,,17,export,,false,AddonProvider
openInNewTab,🔄 RENAME: isOpenInNewTab (boolean should have is/has/can prefix),src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts,boolean,false,,18,export,,false,AddonProvider
canUpgrade,✅ KEEP,src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts,boolean,false,,19,export,,false,AddonProvider
zones,✅ KEEP,src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts,Array<string>,false,renamed from regions,21,export,,false,AddonProvider
id,✅ KEEP (primary identifier),src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts,string,false,,25,export,,false,AddonProviderPlan
name,"📝 CLARIFY: too generic,string,false,,26,export,,false,src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts
AddonProviderPlan,slug,✅ KEEP,string,false,,27,export,,false,src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts
AddonProviderPlan,price,✅ KEEP,number,false,,28,export,,false,src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts
AddonProviderPlan,priceId,✅ KEEP,string,true,renamed from price_id,30,export,,false,src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts
AddonProviderPlan,features,✅ KEEP,Array<AddonProviderPlanFeature>,false,,31,export,,false,src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts
AddonProviderPlan,zones,✅ KEEP,Array<string>,false,,32,export,,false,src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts
AddonProviderPlanFeature,value,📝 CLARIFY: too generic",src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts,string,false,,36,export,AddonProviderFeature,false,AddonProviderPlan
computableValue,✅ KEEP (already renamed from API format),src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts,string,false,renamed from computable_value and fallback to value when null,38,export,AddonProviderFeature,false,AddonProviderPlanFeature
name,"📝 CLARIFY: too generic,string,false,,42,export,,false,src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts
AddonProviderFeature,type,📝 CLARIFY: too generic",src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts,AddonProviderFeatureType,false,,43,export,,false,AddonProviderFeature
nameCode,✅ KEEP (already renamed from API format),src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts,string,false,renamed from name_code and fallback to name when null,45,export,,false,AddonProviderFeature
ownerId,✅ KEEP,src/clients/cc-api/commands/addon-provider/create-addon-provider-command.types.d.ts,string,false,,4,export,,false,CreateAddonProviderCommandInput
id,✅ KEEP (primary identifier),src/clients/cc-api/commands/addon-provider/create-addon-provider-command.types.d.ts,string,false,,5,export,,false,CreateAddonProviderCommandInput
name,"📝 CLARIFY: too generic,string,false,,6,export,,false,src/clients/cc-api/commands/addon-provider/create-addon-provider-command.types.d.ts
CreateAddonProviderFeatureCommandInput,name,📝 CLARIFY: too generic",src/clients/cc-api/commands/addon-provider/create-addon-provider-feature-command.types.d.ts,string,false,,5,export,AddonProviderId,false,CreateAddonProviderCommandInput
type,"📝 CLARIFY: too generic,AddonProviderFeatureType,false,,6,export,AddonProviderId,false,src/clients/cc-api/commands/addon-provider/create-addon-provider-feature-command.types.d.ts
CreateAddonProviderPlanCommandInput,name,📝 CLARIFY: too generic",src/clients/cc-api/commands/addon-provider/create-addon-provider-plan-command.types.d.ts,string,false,,5,export,AddonProviderId,false,CreateAddonProviderFeatureCommandInput
slug,✅ KEEP,src/clients/cc-api/commands/addon-provider/create-addon-provider-plan-command.types.d.ts,string,false,,6,export,AddonProviderId,false,CreateAddonProviderPlanCommandInput
price,✅ KEEP,src/clients/cc-api/commands/addon-provider/create-addon-provider-plan-command.types.d.ts,number,false,,7,export,AddonProviderId,false,CreateAddonProviderPlanCommandInput
name,"📝 CLARIFY: too generic,string,false,,4,export,AddonProviderId,false,src/clients/cc-api/commands/addon-provider/delete-addon-provider-feature-command.types.d.ts
DeleteAddonProviderPlanCommandInput,planId,✅ KEEP,string,false,,4,export,AddonProviderId,false,src/clients/cc-api/commands/addon-provider/delete-addon-provider-plan-command.types.d.ts
UpdateAddonProviderCommandInput,name,📝 CLARIFY: too generic",src/clients/cc-api/commands/addon-provider/update-addon-provider-command.types.d.ts,string,true,,5,export,AddonProviderId,false,DeleteAddonProviderFeatureCommandInput
website,✅ KEEP,src/clients/cc-api/commands/addon-provider/update-addon-provider-command.types.d.ts,string,true,,6,export,AddonProviderId,false,UpdateAddonProviderCommandInput
supportEmail,✅ KEEP,src/clients/cc-api/commands/addon-provider/update-addon-provider-command.types.d.ts,string,true,,7,export,AddonProviderId,false,UpdateAddonProviderCommandInput
googlePlusName,✅ KEEP,src/clients/cc-api/commands/addon-provider/update-addon-provider-command.types.d.ts,string,true,,8,export,AddonProviderId,false,UpdateAddonProviderCommandInput
twitterName,✅ KEEP,src/clients/cc-api/commands/addon-provider/update-addon-provider-command.types.d.ts,string,true,,9,export,AddonProviderId,false,UpdateAddonProviderCommandInput
analyticsId,✅ KEEP,src/clients/cc-api/commands/addon-provider/update-addon-provider-command.types.d.ts,string,true,,10,export,AddonProviderId,false,UpdateAddonProviderCommandInput
shortDesc,🔄 RENAME: shortDescription (avoid abbreviating description),src/clients/cc-api/commands/addon-provider/update-addon-provider-command.types.d.ts,string,true,,11,export,AddonProviderId,false,UpdateAddonProviderCommandInput
longDesc,🔄 RENAME: networkGroup* (ng is unclear),src/clients/cc-api/commands/addon-provider/update-addon-provider-command.types.d.ts,string,true,,12,export,AddonProviderId,false,UpdateAddonProviderCommandInput
logoUrl,✅ KEEP,src/clients/cc-api/commands/addon-provider/update-addon-provider-command.types.d.ts,string,true,,13,export,AddonProviderId,false,UpdateAddonProviderCommandInput
planId,✅ KEEP,src/clients/cc-api/commands/addon-provider/update-addon-provider-plan-command.types.d.ts,string,false,,5,export,AddonProviderId,false,UpdateAddonProviderPlanCommandInput
name,"📝 CLARIFY: too generic,string,false,,6,export,AddonProviderId,false,src/clients/cc-api/commands/addon-provider/update-addon-provider-plan-command.types.d.ts
UpdateAddonProviderPlanCommandInput,slug,✅ KEEP,string,false,,7,export,AddonProviderId,false,src/clients/cc-api/commands/addon-provider/update-addon-provider-plan-command.types.d.ts
UpdateAddonProviderPlanCommandInput,price,✅ KEEP,number,false,,8,export,AddonProviderId,false,src/clients/cc-api/commands/addon-provider/update-addon-provider-plan-command.types.d.ts
Application,id,✅ KEEP (primary identifier),string,false,,6,export,,false,src/clients/cc-api/commands/application/application.types.d.ts
Application,ownerId,✅ KEEP,string,false,,7,export,,false,src/clients/cc-api/commands/application/application.types.d.ts
Application,name,📝 CLARIFY: too generic",src/clients/cc-api/commands/application/application.types.d.ts,string,false,,8,export,,false,UpdateAddonProviderPlanCommandInput
description,✅ KEEP,src/clients/cc-api/commands/application/application.types.d.ts,string,false,,9,export,,false,Application
zone,✅ KEEP,src/clients/cc-api/commands/application/application.types.d.ts,string,false,,10,export,,false,Application
zoneId,✅ KEEP,src/clients/cc-api/commands/application/application.types.d.ts,string,false,,11,export,,false,Application
domains,✅ KEEP,src/clients/cc-api/commands/application/application.types.d.ts,Array<Domain>,false,renamed from vhosts,34,export,,false,Application
creationDate,🔄 RENAME: createdAt (standardize to 'At' suffix),src/clients/cc-api/commands/application/application.types.d.ts,string,false,converted from number to date iso string,36,export,,false,Application
lastDeploy,✅ KEEP (already renamed from API format),src/clients/cc-api/commands/application/application.types.d.ts,number,false,renamed from last_deploy,38,export,,false,Application
archived,🔄 RENAME: isArchived (boolean should have is/has/can prefix),src/clients/cc-api/commands/application/application.types.d.ts,boolean,false,,39,export,,false,Application
stickySessions,🔄 RENAME: isStickySessions (boolean should have is/has/can prefix),src/clients/cc-api/commands/application/application.types.d.ts,boolean,false,,40,export,,false,Application
homogeneous,🔄 RENAME: isHomogeneous (boolean should have is/has/can prefix),src/clients/cc-api/commands/application/application.types.d.ts,boolean,false,,41,export,,false,Application
favourite,🔄 RENAME: isFavorite (boolean should have is/has/can prefix),src/clients/cc-api/commands/application/application.types.d.ts,boolean,false,,42,export,,false,Application
cancelOnPush,✅ KEEP,src/clients/cc-api/commands/application/application.types.d.ts,boolean,false,,43,export,,false,Application
oauthApp,✅ KEEP,src/clients/cc-api/commands/application/application.types.d.ts,ApplicationOauthApp,true,,44,export,,false,Application
separateBuild,🔄 RENAME: isSeparateBuild (boolean should have is/has/can prefix),src/clients/cc-api/commands/application/application.types.d.ts,boolean,false,,45,export,,false,Application
buildFlavor,✅ KEEP,src/clients/cc-api/commands/application/application.types.d.ts,ProductRuntimeFlavor,false,,46,export,,false,Application
state,"📝 REVIEW: use state"" for data/resource state",src/clients/cc-api/commands/application/application.types.d.ts,ApplicationState,false,,47,export,,false,Application
commitId,✅ KEEP,src/clients/cc-api/commands/application/application.types.d.ts,string,false,,48,export,,false,Application
appliance,✅ KEEP,src/clients/cc-api/commands/application/application.types.d.ts,null,false,,49,export,,false,Application
branch,✅ KEEP,src/clients/cc-api/commands/application/application.types.d.ts,string,false,,50,export,,false,Application
branches,✅ KEEP,src/clients/cc-api/commands/application/application.types.d.ts,Array<string>,true,,51,export,,false,Application
forceHttps,🔄 RENAME: isForceHttps (boolean should have is/has/can prefix),src/clients/cc-api/commands/application/application.types.d.ts,boolean,false,converted from ENABLED/DISABLED to boolean,53,export,,false,Application
environment,🔄 RENAME: environments (array should be plural),src/clients/cc-api/commands/application/application.types.d.ts,Array<EnvironmentVariable>,false,renamed from env,55,export,,false,Application
favourite,🔄 RENAME: isFavorite (boolean should have is/has/can prefix),src/clients/cc-api/commands/application/create-application-command.types.d.ts,boolean,true,,14,export,,false,CreateApplicationCommandInput
forceHttps,🔄 RENAME: isForceHttps (boolean should have is/has/can prefix),src/clients/cc-api/commands/application/create-application-command.types.d.ts,boolean,true,converted from ENABLED|DISABLED to boolean,16,export,,false,CreateApplicationCommandInput
homogeneous,🔄 RENAME: isHomogeneous (boolean should have is/has/can prefix),src/clients/cc-api/commands/application/create-application-command.types.d.ts,boolean,true,,17,export,,false,CreateApplicationCommandInput
instance,✅ KEEP,src/clients/cc-api/commands/application/create-application-command.types.d.ts,ApplicationInstance | ApplicationInstanceSlug,false,,18,export,,false,CreateApplicationCommandInput
instanceLifetime,✅ KEEP,src/clients/cc-api/commands/application/create-application-command.types.d.ts,ApplicationLifetime,true,,19,export,,false,CreateApplicationCommandInput
maxFlavor,✅ KEEP,src/clients/cc-api/commands/application/create-application-command.types.d.ts,string,true,,20,export,,false,CreateApplicationCommandInput
maxInstances,✅ KEEP,src/clients/cc-api/commands/application/create-application-command.types.d.ts,number,true,,21,export,,false,CreateApplicationCommandInput
minFlavor,✅ KEEP,src/clients/cc-api/commands/application/create-application-command.types.d.ts,string,false,,22,export,,false,CreateApplicationCommandInput
minInstances,✅ KEEP,src/clients/cc-api/commands/application/create-application-command.types.d.ts,number,true,,23,export,,false,CreateApplicationCommandInput
name,"📝 CLARIFY: too generic,string,false,,24,export,,false,src/clients/cc-api/commands/application/create-application-command.types.d.ts
CreateApplicationCommandInput,oauthApp,✅ KEEP,ApplicationOauthApp,true,,25,export,,false,src/clients/cc-api/commands/application/create-application-command.types.d.ts
CreateApplicationCommandInput,ownerId,✅ KEEP,string,false,,26,export,,false,src/clients/cc-api/commands/application/create-application-command.types.d.ts
CreateApplicationCommandInput,publicGitRepositoryUrl,✅ KEEP,string,true,,27,export,,false,src/clients/cc-api/commands/application/create-application-command.types.d.ts
CreateApplicationCommandInput,separateBuild,🔄 RENAME: isSeparateBuild (boolean should have is/has/can prefix),boolean,true,,28,export,,false,src/clients/cc-api/commands/application/create-application-command.types.d.ts
CreateApplicationCommandInput,shutdownable,🔄 RENAME: canShutdown (boolean should have is/has/can prefix),boolean,true,,29,export,,false,src/clients/cc-api/commands/application/create-application-command.types.d.ts
CreateApplicationCommandInput,stickySessions,🔄 RENAME: isStickySessions (boolean should have is/has/can prefix),boolean,true,,30,export,,false,src/clients/cc-api/commands/application/create-application-command.types.d.ts
CreateApplicationCommandInput,tags,✅ KEEP,Array<string>,true,,31,export,,false,src/clients/cc-api/commands/application/create-application-command.types.d.ts
CreateApplicationCommandInput,zone,✅ KEEP,string,true,,32,export,,false,src/clients/cc-api/commands/application/create-application-command.types.d.ts
ApplicationInstanceSlug,slug,✅ KEEP,string,false,,38,export,,false,src/clients/cc-api/commands/application/create-application-command.types.d.ts
ApplicationInstance,type,📝 CLARIFY: too generic",src/clients/cc-api/commands/application/create-application-command.types.d.ts,string,false,,42,export,,false,CreateApplicationCommandInput
version,✅ KEEP,src/clients/cc-api/commands/application/create-application-command.types.d.ts,string,false,,43,export,,false,ApplicationInstance
variant,✅ KEEP,src/clients/cc-api/commands/application/create-application-command.types.d.ts,string,false,,44,export,,false,ApplicationInstance
favourite,🔄 RENAME: isFavorite (boolean should have is/has/can prefix),src/clients/cc-api/commands/application/update-application-command.types.d.ts,boolean,true,,14,export,ApplicationId,false,UpdateApplicationCommandInput
forceHttps,🔄 RENAME: isForceHttps (boolean should have is/has/can prefix),src/clients/cc-api/commands/application/update-application-command.types.d.ts,boolean,true,converted from ENABLED|DISABLED to boolean,16,export,ApplicationId,false,UpdateApplicationCommandInput
homogeneous,🔄 RENAME: isHomogeneous (boolean should have is/has/can prefix),src/clients/cc-api/commands/application/update-application-command.types.d.ts,boolean,true,,17,export,ApplicationId,false,UpdateApplicationCommandInput
instanceLifetime,✅ KEEP,src/clients/cc-api/commands/application/update-application-command.types.d.ts,ApplicationLifetime,true,,18,export,ApplicationId,false,UpdateApplicationCommandInput
maxFlavor,✅ KEEP,src/clients/cc-api/commands/application/update-application-command.types.d.ts,string,true,,19,export,ApplicationId,false,UpdateApplicationCommandInput
maxInstances,✅ KEEP,src/clients/cc-api/commands/application/update-application-command.types.d.ts,number,true,,20,export,ApplicationId,false,UpdateApplicationCommandInput
minFlavor,✅ KEEP,src/clients/cc-api/commands/application/update-application-command.types.d.ts,string,true,,21,export,ApplicationId,false,UpdateApplicationCommandInput
minInstances,✅ KEEP,src/clients/cc-api/commands/application/update-application-command.types.d.ts,number,true,,22,export,ApplicationId,false,UpdateApplicationCommandInput
name,"📝 CLARIFY: too generic,string,true,,23,export,ApplicationId,false,src/clients/cc-api/commands/application/update-application-command.types.d.ts
UpdateApplicationCommandInput,separateBuild,🔄 RENAME: isSeparateBuild (boolean should have is/has/can prefix),boolean,true,,24,export,ApplicationId,false,src/clients/cc-api/commands/application/update-application-command.types.d.ts
UpdateApplicationCommandInput,shutdownable,🔄 RENAME: canShutdown (boolean should have is/has/can prefix),boolean,true,,25,export,ApplicationId,false,src/clients/cc-api/commands/application/update-application-command.types.d.ts
UpdateApplicationCommandInput,stickySessions,🔄 RENAME: isStickySessions (boolean should have is/has/can prefix),boolean,true,,26,export,ApplicationId,false,src/clients/cc-api/commands/application/update-application-command.types.d.ts
UpdateApplicationCommandInput,tags,✅ KEEP,Array<string>,true,,27,export,ApplicationId,false,src/clients/cc-api/commands/application/update-application-command.types.d.ts
UpdateApplicationCommandInput,zone,✅ KEEP,string,true,,28,export,ApplicationId,false,src/clients/cc-api/commands/application/update-application-command.types.d.ts
UpdateApplicationBranchCommandInput,branch,✅ KEEP,string,false,,37,export,ApplicationId,false,src/clients/cc-api/commands/application/update-application-command.types.d.ts
ConfirmAuthMfaCommandInput,kind,✅ KEEP,MFAKind,false,,4,export,,false,src/clients/cc-api/commands/auth/confirm-auth-mfa-command.types.d.ts
ConfirmAuthMfaCommandInput,code,✅ KEEP,string,false,,5,export,,false,src/clients/cc-api/commands/auth/confirm-auth-mfa-command.types.d.ts
ConfirmAuthMfaCommandInput,password,✅ KEEP,string,false,,6,export,,false,src/clients/cc-api/commands/auth/confirm-auth-mfa-command.types.d.ts
ConfirmAuthMfaCommandInput,revokeTokens,🔄 RENAME: isRevokeTokens (boolean should have is/has/can prefix),boolean,true,,7,export,,false,src/clients/cc-api/commands/auth/confirm-auth-mfa-command.types.d.ts
CreateAuthMfaCommandInput,kind,✅ KEEP,MFAKind,false,,4,export,,false,src/clients/cc-api/commands/auth/create-auth-mfa-command.types.d.ts
CreateAuthMfaCommandInput,password,✅ KEEP,string,false,,5,export,,false,src/clients/cc-api/commands/auth/create-auth-mfa-command.types.d.ts
CreateAuthMfaCommandOutput,url,📝 CLARIFY: too generic",src/clients/cc-api/commands/auth/create-auth-mfa-command.types.d.ts,string,false,,9,export,,false,UpdateApplicationCommandInput
kind,✅ KEEP,src/clients/cc-api/commands/auth/delete-auth-mfa-command.types.d.ts,MFAKind,false,,4,export,,false,DeleteAuthMfaCommandInput
password,✅ KEEP,src/clients/cc-api/commands/auth/delete-auth-mfa-command.types.d.ts,string,false,,5,export,,false,DeleteAuthMfaCommandInput
kind,✅ KEEP,src/clients/cc-api/commands/auth/get-auth-mfa-backup-codes-command.types.d.ts,MFAKind,false,,4,export,,false,GetAuthMfaBackupCodesCommandInput
password,✅ KEEP,src/clients/cc-api/commands/auth/get-auth-mfa-backup-codes-command.types.d.ts,string,false,,5,export,,false,GetAuthMfaBackupCodesCommandInput
oldPassword,✅ KEEP,src/clients/cc-api/commands/auth/update-auth-password-command.types.d.ts,string,false,,2,export,,false,UpdateAuthPasswordCommandInput
newPassword,✅ KEEP,src/clients/cc-api/commands/auth/update-auth-password-command.types.d.ts,string,false,,3,export,,false,UpdateAuthPasswordCommandInput
revokeTokens,🔄 RENAME: isRevokeTokens (boolean should have is/has/can prefix),src/clients/cc-api/commands/auth/update-auth-password-command.types.d.ts,boolean,true,renamed from dropTokens,5,export,,false,UpdateAuthPasswordCommandInput
commands,✅ KEEP,src/clients/cc-api/commands/backup/backup.types.d.ts,BackupCommands,true,,2,export,BackupBase,false,Backup
backupId,✅ KEEP,src/clients/cc-api/commands/backup/backup.types.d.ts,string,false,renamed from backup_id,7,export,,false,BackupBase
entityId,✅ KEEP,src/clients/cc-api/commands/backup/backup.types.d.ts,string,false,renamed from entity_id,9,export,,false,BackupBase
status,"📝 REVIEW: use status"" for operational/lifecycle",src/clients/cc-api/commands/backup/backup.types.d.ts,string,false,,10,export,,false,BackupBase
downloadUrl,✅ KEEP,src/clients/cc-api/commands/backup/backup.types.d.ts,string,false,renamed from download_url (or from link for elasticsearch addons),16,export,,false,BackupBase
restoreCommand,✅ KEEP,src/clients/cc-api/commands/backup/backup.types.d.ts,string,true,,20,export,,false,BackupCommands
password,✅ KEEP,src/clients/cc-api/commands/backup/backup.types.d.ts,string,true,,21,export,,false,BackupCommands
deleteCommand,✅ KEEP,src/clients/cc-api/commands/backup/backup.types.d.ts,string,true,,22,export,,false,BackupCommands
withCommands,🔄 RENAME: isWithCommands (boolean should have is/has/can prefix),src/clients/cc-api/commands/backup/list-backup-command.types.d.ts,boolean,true,,5,export,AddonId,false,ListBackupCommandInput
restoreCommand,✅ KEEP (already renamed from API format),src/clients/cc-api/commands/backup/list-backup-command.types.d.ts,string,true,renamed from restore_command,14,export,BackupBase,false,InnerBackup
deleteCommand,✅ KEEP (already renamed from API format),src/clients/cc-api/commands/backup/list-backup-command.types.d.ts,string,true,renamed from delete_command,16,export,BackupBase,false,InnerBackup
addonProviderId,✅ KEEP,src/clients/cc-api/commands/backup/list-backup-command.types.d.ts,string,false,,20,export,,false,GetAddonDetailsInnerCommandInput
addonId,✅ KEEP,src/clients/cc-api/commands/backup/list-backup-command.types.d.ts,string,false,,21,export,,false,GetAddonDetailsInnerCommandInput
id,✅ KEEP (primary identifier),src/clients/cc-api/commands/backup/list-backup-command.types.d.ts,string,false,,25,export,,false,GetAddonDetailsInnerCommandOutput
providerId,✅ KEEP,src/clients/cc-api/commands/backup/list-backup-command.types.d.ts,string,false,,26,export,,false,GetAddonDetailsInnerCommandOutput
host,✅ KEEP,src/clients/cc-api/commands/backup/list-backup-command.types.d.ts,string,false,,27,export,,false,GetAddonDetailsInnerCommandOutput
port,✅ KEEP,src/clients/cc-api/commands/backup/list-backup-command.types.d.ts,number,false,,28,export,,false,GetAddonDetailsInnerCommandOutput
user,✅ KEEP,src/clients/cc-api/commands/backup/list-backup-command.types.d.ts,string,false,,29,export,,false,GetAddonDetailsInnerCommandOutput
password,✅ KEEP,src/clients/cc-api/commands/backup/list-backup-command.types.d.ts,string,false,,30,export,,false,GetAddonDetailsInnerCommandOutput
database,✅ KEEP,src/clients/cc-api/commands/backup/list-backup-command.types.d.ts,string,false,,31,export,,false,GetAddonDetailsInnerCommandOutput
addonId,✅ KEEP,src/clients/cc-api/commands/config-provider/get-config-provider-command.types.d.ts,string,false,,4,export,,false,GetConfigProviderCommandInput
addonId,✅ KEEP,src/clients/cc-api/commands/config-provider/update-config-provider-command.types.d.ts,string,false,,4,export,,false,UpdateConfigProviderCommandInput
environment,🔄 RENAME: environments (array should be plural),src/clients/cc-api/commands/config-provider/update-config-provider-command.types.d.ts,Array<EnvironmentVariable>,false,,5,export,,false,UpdateConfigProviderCommandInput
ownerId,✅ KEEP,src/clients/cc-api/commands/credits/activate-coupon-command.types.d.ts,string,false,,4,export,,false,ActivateCouponCommandInput
couponName,✅ KEEP,src/clients/cc-api/commands/credits/activate-coupon-command.types.d.ts,string,false,,5,export,,false,ActivateCouponCommandInput
prepaidCredit,✅ KEEP,src/clients/cc-api/commands/credits/credits.types.d.ts,number,false,,2,export,,false,Credits
freeCredit,✅ KEEP,src/clients/cc-api/commands/credits/credits.types.d.ts,number,false,,3,export,,false,Credits
currency,✅ KEEP,src/clients/cc-api/commands/credits/credits.types.d.ts,string,false,,4,export,,false,Credits
couponName,✅ KEEP (already renamed from API format),src/clients/cc-api/commands/credits/credits.types.d.ts,string,false,renamed from coupon_name,9,export,,false,CouponUsage
usageDate,🔄 RENAME: usedAt (standardize to 'At' suffix),src/clients/cc-api/commands/credits/credits.types.d.ts,string,false,,10,export,,false,CouponUsage
freeCreditsStartDate,🔄 RENAME: freeCreditsStartAt (standardize to 'At' suffix),src/clients/cc-api/commands/credits/credits.types.d.ts,string,false,,11,export,,false,CouponUsage
freeCreditsEndDate,🔄 RENAME: freeCreditsEndAt (standardize to 'At' suffix),src/clients/cc-api/commands/credits/credits.types.d.ts,string,false,,12,export,,false,CouponUsage
