project,file,line,method,path,mechanism,current_reference,target_command,command_creation_required,simplification_notes
clever-components,../clever-components/src/components/cc-addon-header/cc-addon-header.smart-elastic.js,50,GET,/v2/providers/es-addon/:XXX,"new client (Command pattern, already migrated)",GetElasticsearchInfoCommand,GetElasticsearchInfoCommand,no (already using new client),
clever-components,../clever-components/src/components/cc-addon-header/cc-addon-header.smart-elastic.js,51,GET,/v4/products/zones/:XXX,"new client (Command pattern, already migrated)",GetZoneCommand,GetZoneCommand,no (already using new client),
clever-components,../clever-components/src/components/cc-addon-header/cc-addon-header.smart-jenkins.js,42,GET,/v2/organisations/:XXX/addons/:XXX,"new client (Command pattern, already migrated)",GetAddonCommand,GetAddonCommand,no (already using new client),
clever-components,../clever-components/src/components/cc-addon-header/cc-addon-header.smart-jenkins.js,46,GET,/v4/addon-providers/jenkins/addons/:XXX,"new client (Command pattern, already migrated)",GetJenkinsInfoCommand,GetJenkinsInfoCommand,no (already using new client),
clever-components,../clever-components/src/components/cc-addon-header/cc-addon-header.smart-jenkins.js,47,GET,/v4/products/zones/:XXX,"new client (Command pattern, already migrated)",GetZoneCommand,GetZoneCommand,no (already using new client),
clever-components,../clever-components/src/components/cc-addon-header/cc-addon-header.smart-keycloak.js,55,GET,/v2/organisations/:XXX/addons/:XXX,"new client (Command pattern, already migrated)",GetAddonCommand,GetAddonCommand,no (already using new client),
clever-components,../clever-components/src/components/cc-addon-header/cc-addon-header.smart-keycloak.js,59,GET,/v4/addon-providers/addon-keycloak/addons/:XXX,"new client (Command pattern, already migrated)",GetKeycloakInfoCommand,GetKeycloakInfoCommand,no (already using new client),
clever-components,../clever-components/src/components/cc-addon-header/cc-addon-header.smart-keycloak.js,60,GET,/v4/products/zones/:XXX,"new client (Command pattern, already migrated)",GetZoneCommand,GetZoneCommand,no (already using new client),
clever-components,../clever-components/src/components/cc-addon-header/cc-addon-header.smart-keycloak.js,101,POST,/v4/addon-providers/addon-keycloak/addons/:XXX/reboot,"new client (Command pattern, already migrated)",RebootKeycloakCommand,RebootKeycloakCommand,no (already using new client),
clever-components,../clever-components/src/components/cc-addon-header/cc-addon-header.smart-keycloak.js,130,POST,/v4/addon-providers/addon-keycloak/addons/:XXX/rebuild,"new client (Command pattern, already migrated)",RebuildKeycloakCommand,RebuildKeycloakCommand,no (already using new client),
clever-components,../clever-components/src/components/cc-addon-header/cc-addon-header.smart-kubernetes.js,126,GET,/v4/kubernetes/organisations/:XXX/clusters/:XXX,internal implementation (project-local reimplementation of esm/api function shape),getKubeInfo,UNKNOWN (not found in command source tree or openapi/commands inventory - verify manually),yes (no command implementation found for this endpoint),
clever-components,../clever-components/src/components/cc-addon-header/cc-addon-header.smart-kubernetes.js,140,GET,/v4/kubernetes/organisations/:XXX/clusters/:XXX/kubeconfig/presigned-url,internal implementation (project-local reimplementation of esm/api function shape),getKubeConfig,UNKNOWN (not found in command source tree or openapi/commands inventory - verify manually),yes (no command implementation found for this endpoint),
clever-components,../clever-components/src/components/cc-addon-header/cc-addon-header.smart-materia-kv.js,41,GET,/v2/organisations/:XXX/addons/:XXX,"new client (Command pattern, already migrated)",GetAddonCommand,GetAddonCommand,no (already using new client),
clever-components,../clever-components/src/components/cc-addon-header/cc-addon-header.smart-materia-kv.js,45,GET,/v4/products/zones/:XXX,"new client (Command pattern, already migrated)",GetZoneCommand,GetZoneCommand,no (already using new client),
clever-components,../clever-components/src/components/cc-addon-header/cc-addon-header.smart-matomo.js,55,GET,/v2/organisations/:XXX/addons/:XXX,"new client (Command pattern, already migrated)",GetAddonCommand,GetAddonCommand,no (already using new client),
clever-components,../clever-components/src/components/cc-addon-header/cc-addon-header.smart-matomo.js,59,GET,/v4/addon-providers/addon-matomo/addons/:XXX,"new client (Command pattern, already migrated)",GetMatomoInfoCommand,GetMatomoInfoCommand,no (already using new client),
clever-components,../clever-components/src/components/cc-addon-header/cc-addon-header.smart-matomo.js,60,GET,/v4/products/zones/:XXX,"new client (Command pattern, already migrated)",GetZoneCommand,GetZoneCommand,no (already using new client),
clever-components,../clever-components/src/components/cc-addon-header/cc-addon-header.smart-matomo.js,101,POST,/v4/addon-providers/addon-matomo/addons/:XXX/reboot,"new client (Command pattern, already migrated)",RebootMatomoCommand,RebootMatomoCommand,no (already using new client),
clever-components,../clever-components/src/components/cc-addon-header/cc-addon-header.smart-matomo.js,130,POST,/v4/addon-providers/addon-matomo/addons/:XXX/rebuild,"new client (Command pattern, already migrated)",RebuildMatomoCommand,RebuildMatomoCommand,no (already using new client),
clever-components,../clever-components/src/components/cc-addon-header/cc-addon-header.smart-metabase.js,55,GET,/v2/organisations/:XXX/addons/:XXX,"new client (Command pattern, already migrated)",GetAddonCommand,GetAddonCommand,no (already using new client),
clever-components,../clever-components/src/components/cc-addon-header/cc-addon-header.smart-metabase.js,59,GET,/v4/addon-providers/addon-metabase/addons/:XXX,"new client (Command pattern, already migrated)",GetMetabaseInfoCommand,GetMetabaseInfoCommand,no (already using new client),
clever-components,../clever-components/src/components/cc-addon-header/cc-addon-header.smart-metabase.js,60,GET,/v4/products/zones/:XXX,"new client (Command pattern, already migrated)",GetZoneCommand,GetZoneCommand,no (already using new client),
clever-components,../clever-components/src/components/cc-addon-header/cc-addon-header.smart-metabase.js,101,POST,/v4/addon-providers/addon-metabase/addons/:XXX/reboot,"new client (Command pattern, already migrated)",RebootMetabaseCommand,RebootMetabaseCommand,no (already using new client),
clever-components,../clever-components/src/components/cc-addon-header/cc-addon-header.smart-metabase.js,130,POST,/v4/addon-providers/addon-metabase/addons/:XXX/rebuild,"new client (Command pattern, already migrated)",RebuildMetabaseCommand,RebuildMetabaseCommand,no (already using new client),
clever-components,../clever-components/src/components/cc-addon-header/cc-addon-header.smart-otoroshi.js,55,GET,/v2/organisations/:XXX/addons/:XXX,"new client (Command pattern, already migrated)",GetAddonCommand,GetAddonCommand,no (already using new client),
clever-components,../clever-components/src/components/cc-addon-header/cc-addon-header.smart-otoroshi.js,59,GET,/v4/addon-providers/addon-otoroshi/addons/:XXX,"new client (Command pattern, already migrated)",GetOtoroshiInfoCommand,GetOtoroshiInfoCommand,no (already using new client),
clever-components,../clever-components/src/components/cc-addon-header/cc-addon-header.smart-otoroshi.js,60,GET,/v4/products/zones/:XXX,"new client (Command pattern, already migrated)",GetZoneCommand,GetZoneCommand,no (already using new client),
clever-components,../clever-components/src/components/cc-addon-header/cc-addon-header.smart-otoroshi.js,101,POST,/v4/addon-providers/addon-otoroshi/addons/:XXX/reboot,"new client (Command pattern, already migrated)",RebootOtoroshiCommand,RebootOtoroshiCommand,no (already using new client),
clever-components,../clever-components/src/components/cc-addon-header/cc-addon-header.smart-otoroshi.js,130,POST,/v4/addon-providers/addon-otoroshi/addons/:XXX/rebuild,"new client (Command pattern, already migrated)",RebuildOtoroshiCommand,RebuildOtoroshiCommand,no (already using new client),
clever-components,../clever-components/src/components/cc-addon-header/cc-addon-header.smart-pulsar.js,34,GET,/v2/organisations/:XXX/addons/:XXX,"new client (Command pattern, already migrated)",GetAddonCommand,GetAddonCommand,no (already using new client),
clever-components,../clever-components/src/components/cc-addon-header/cc-addon-header.smart-pulsar.js,38,GET,/v4/products/zones/:XXX,"new client (Command pattern, already migrated)",GetZoneCommand,GetZoneCommand,no (already using new client),
clever-components,../clever-components/src/components/cc-addon-info/cc-addon-info.client.js,33,GET,/v2/organisations/:XXX/addons/:XXX,legacy client (@clevercloud/client esm/api/*),,GetAddonCommand,no (command already exists),
clever-components,../clever-components/src/components/cc-addon-info/cc-addon-info.client.js,82,GET,/v4/saas/grafana/:XXX,"new client (Command pattern, already migrated)",GetGrafanaCommand,GetGrafanaCommand,no (already using new client),
clever-components,../clever-components/src/components/cc-addon-info/cc-addon-info.smart-cellar.js,101,GET,/v4/cellar/organisations/:XXX/cellar/:XXX,internal implementation (project-local reimplementation of esm/api function shape),getCellarInfo,UNKNOWN (not found in command source tree or openapi/commands inventory - verify manually),yes (no command implementation found for this endpoint),
clever-components,../clever-components/src/components/cc-addon-info/cc-addon-info.smart-elastic.js,125,GET,/v2/organisations/:XXX/addons/:XXX,"new client (Command pattern, already migrated)",GetAddonCommand,GetAddonCommand,no (already using new client),
clever-components,../clever-components/src/components/cc-addon-info/cc-addon-info.smart-elastic.js,126,GET,/v2/providers/es-addon/:XXX,"new client (Command pattern, already migrated)",GetElasticsearchInfoCommand,GetElasticsearchInfoCommand,no (already using new client),
clever-components,../clever-components/src/components/cc-addon-info/cc-addon-info.smart-jenkins.js,75,GET,/v2/organisations/:XXX/addons/:XXX,"new client (Command pattern, already migrated)",GetAddonCommand,GetAddonCommand,no (already using new client),
clever-components,../clever-components/src/components/cc-addon-info/cc-addon-info.smart-jenkins.js,76,GET,/v4/addon-providers/jenkins/addons/:XXX,"new client (Command pattern, already migrated)",GetJenkinsInfoCommand,GetJenkinsInfoCommand,no (already using new client),
clever-components,../clever-components/src/components/cc-addon-info/cc-addon-info.smart-keycloak.js,79,GET,/v2/organisations/:XXX/addons/:XXX,"new client (Command pattern, already migrated)",GetAddonCommand,GetAddonCommand,no (already using new client),
clever-components,../clever-components/src/components/cc-addon-info/cc-addon-info.smart-keycloak.js,80,GET,/v4/addon-providers/addon-keycloak/addons/:XXX,"new client (Command pattern, already migrated)",GetKeycloakInfoCommand,GetKeycloakInfoCommand,no (already using new client),
clever-components,../clever-components/src/components/cc-addon-info/cc-addon-info.smart-keycloak.js,81,GET,/v4/addon-providers/addon-keycloak/addons/:XXX/version/check,"new client (Command pattern, already migrated)",CheckKeycloakVersionCommand,CheckKeycloakVersionCommand,no (already using new client),
clever-components,../clever-components/src/components/cc-addon-info/cc-addon-info.smart-keycloak.js,141,POST,/v4/addon-providers/addon-keycloak/addons/:XXX/version/update,"new client (Command pattern, already migrated)",UpdateKeycloakVersionCommand,UpdateKeycloakVersionCommand,no (already using new client),
clever-components,../clever-components/src/components/cc-addon-info/cc-addon-info.smart-keycloak.js,142,GET,/v4/addon-providers/addon-keycloak/addons/:XXX/version/check,"new client (Command pattern, already migrated)",CheckKeycloakVersionCommand,CheckKeycloakVersionCommand,no (already using new client),
clever-components,../clever-components/src/components/cc-addon-info/cc-addon-info.smart-kubernetes.js,84,GET,/v4/kubernetes/organisations/:XXX/clusters/:XXX,internal implementation (project-local reimplementation of esm/api function shape),getKubeInfo,UNKNOWN (not found in command source tree or openapi/commands inventory - verify manually),yes (no command implementation found for this endpoint),
clever-components,../clever-components/src/components/cc-addon-info/cc-addon-info.smart-materia-kv.js,45,GET,/v2/organisations/:XXX/addons/:XXX,"new client (Command pattern, already migrated)",GetAddonCommand,GetAddonCommand,no (already using new client),
clever-components,../clever-components/src/components/cc-addon-info/cc-addon-info.smart-matomo.js,85,GET,/v2/organisations/:XXX/addons/:XXX,"new client (Command pattern, already migrated)",GetAddonCommand,GetAddonCommand,no (already using new client),
clever-components,../clever-components/src/components/cc-addon-info/cc-addon-info.smart-matomo.js,86,GET,/v4/addon-providers/addon-matomo/addons/:XXX,"new client (Command pattern, already migrated)",GetMatomoInfoCommand,GetMatomoInfoCommand,no (already using new client),
clever-components,../clever-components/src/components/cc-addon-info/cc-addon-info.smart-metabase.js,89,GET,/v2/organisations/:XXX/addons/:XXX,"new client (Command pattern, already migrated)",GetAddonCommand,GetAddonCommand,no (already using new client),
clever-components,../clever-components/src/components/cc-addon-info/cc-addon-info.smart-metabase.js,90,GET,/v4/addon-providers/addon-metabase/addons/:XXX,"new client (Command pattern, already migrated)",GetMetabaseInfoCommand,GetMetabaseInfoCommand,no (already using new client),
clever-components,../clever-components/src/components/cc-addon-info/cc-addon-info.smart-metabase.js,91,GET,/v4/addon-providers/addon-metabase/addons/:XXX/version/check,"new client (Command pattern, already migrated)",CheckMetabaseVersionCommand,CheckMetabaseVersionCommand,no (already using new client),
clever-components,../clever-components/src/components/cc-addon-info/cc-addon-info.smart-metabase.js,146,POST,/v4/addon-providers/addon-metabase/addons/:XXX/version/update,"new client (Command pattern, already migrated)",UpdateMetabaseVersionCommand,UpdateMetabaseVersionCommand,no (already using new client),
clever-components,../clever-components/src/components/cc-addon-info/cc-addon-info.smart-metabase.js,147,GET,/v4/addon-providers/addon-metabase/addons/:XXX/version/check,"new client (Command pattern, already migrated)",CheckMetabaseVersionCommand,CheckMetabaseVersionCommand,no (already using new client),
clever-components,../clever-components/src/components/cc-addon-info/cc-addon-info.smart-otoroshi.js,83,GET,/v2/organisations/:XXX/addons/:XXX,"new client (Command pattern, already migrated)",GetAddonCommand,GetAddonCommand,no (already using new client),
clever-components,../clever-components/src/components/cc-addon-info/cc-addon-info.smart-otoroshi.js,84,GET,/v4/addon-providers/addon-otoroshi/addons/:XXX,"new client (Command pattern, already migrated)",GetOtoroshiInfoCommand,GetOtoroshiInfoCommand,no (already using new client),
clever-components,../clever-components/src/components/cc-addon-info/cc-addon-info.smart-otoroshi.js,85,GET,/v4/addon-providers/addon-otoroshi/addons/:XXX/version/check,"new client (Command pattern, already migrated)",CheckOtoroshiVersionCommand,CheckOtoroshiVersionCommand,no (already using new client),
clever-components,../clever-components/src/components/cc-addon-info/cc-addon-info.smart-otoroshi.js,140,POST,/v4/addon-providers/addon-otoroshi/addons/:XXX/version/update,"new client (Command pattern, already migrated)",UpdateOtoroshiVersionCommand,UpdateOtoroshiVersionCommand,no (already using new client),
clever-components,../clever-components/src/components/cc-addon-info/cc-addon-info.smart-otoroshi.js,141,GET,/v4/addon-providers/addon-otoroshi/addons/:XXX/version/check,"new client (Command pattern, already migrated)",CheckOtoroshiVersionCommand,CheckOtoroshiVersionCommand,no (already using new client),
clever-components,../clever-components/src/components/cc-addon-info/cc-addon-info.smart-pulsar.js,51,GET,/v2/organisations/:XXX/addons/:XXX,"new client (Command pattern, already migrated)",GetAddonCommand,GetAddonCommand,no (already using new client),
clever-components,../clever-components/src/components/cc-addon-info/cc-addon-info.smart-pulsar.js,52,GET,/v4/addon-providers/addon-pulsar/addons/:XXX,"new client (Command pattern, already migrated)",GetPulsarInfoCommand,GetPulsarInfoCommand,no (already using new client),
clever-components,../clever-components/src/components/cc-addon-linked-apps/cc-addon-linked-apps.smart.js,83,GET,/v4/products/zones,legacy client (@clevercloud/client esm/api/*),,ListZoneCommand,no (command already exists),
clever-components,../clever-components/src/components/cc-addon-linked-apps/cc-addon-linked-apps.smart.js,95,GET,/v2/organisations/:XXX/addons/:XXX/applications,legacy client (@clevercloud/client esm/api/*),,ListLinkCommand,no (command already exists),composite: this endpoint is merged with others behind one command; À fusionner
clever-components,../clever-components/src/components/cc-cellar-explorer/cc-cellar-explorer.client.js,36,GET,/v4/cellar/organisations/:XXX/cellar/:XXX/buckets,"internal implementation (hand-built request object, no named function)",listBuckets(),UNKNOWN (not found in command source tree or openapi/commands inventory - verify manually),yes (no command implementation found for this endpoint),
clever-components,../clever-components/src/components/cc-cellar-explorer/cc-cellar-explorer.client.js,51,GET,/v4/cellar/organisations/:XXX/cellar/:XXX/buckets/:XXX,"internal implementation (hand-built request object, no named function)",getBucket(),UNKNOWN (not found in command source tree or openapi/commands inventory - verify manually),yes (no command implementation found for this endpoint),
clever-components,../clever-components/src/components/cc-cellar-explorer/cc-cellar-explorer.client.js,71,POST,/v4/cellar/organisations/:XXX/cellar/:XXX/buckets,"internal implementation (hand-built request object, no named function)",createBucket(),UNKNOWN (not found in command source tree or openapi/commands inventory - verify manually),yes (no command implementation found for this endpoint),
clever-components,../clever-components/src/components/cc-cellar-explorer/cc-cellar-explorer.client.js,85,DELETE,/v4/cellar/organisations/:XXX/cellar/:XXX/buckets/:XXX,"internal implementation (hand-built request object, no named function)",deleteBucket(),UNKNOWN (not found in command source tree or openapi/commands inventory - verify manually),yes (no command implementation found for this endpoint),
clever-components,../clever-components/src/components/cc-cellar-explorer/cc-cellar-explorer.client.js,105,GET,/v4/cellar/organisations/:XXX/cellar/:XXX/buckets/:XXX/objects,"internal implementation (hand-built request object, no named function)",listObjects(),UNKNOWN (not found in command source tree or openapi/commands inventory - verify manually),yes (no command implementation found for this endpoint),
clever-components,../clever-components/src/components/cc-cellar-explorer/cc-cellar-explorer.client.js,121,GET,/v4/cellar/organisations/:XXX/cellar/:XXX/buckets/:XXX/objects/:XXX,"internal implementation (hand-built request object, no named function)",getObject(),UNKNOWN (not found in command source tree or openapi/commands inventory - verify manually),yes (no command implementation found for this endpoint),
clever-components,../clever-components/src/components/cc-cellar-explorer/cc-cellar-explorer.client.js,139,POST,/v4/cellar/organisations/:XXX/cellar/:XXX/buckets/:XXX/objects/download-url,"internal implementation (hand-built request object, no named function)",getObjectSignedUrl(),UNKNOWN (not found in command source tree or openapi/commands inventory - verify manually),yes (no command implementation found for this endpoint),
clever-components,../clever-components/src/components/cc-cellar-explorer/cc-cellar-explorer.client.js,154,DELETE,/v4/cellar/organisations/:XXX/cellar/:XXX/buckets/:XXX/objects/:XXX,"internal implementation (hand-built request object, no named function)",deleteObject(),UNKNOWN (not found in command source tree or openapi/commands inventory - verify manually),yes (no command implementation found for this endpoint),
clever-components,../clever-components/src/components/cc-cellar-explorer/cc-cellar-explorer.client.js,168,POST,/v4/cellar/organisations/:XXX/cellar/:XXX/buckets/:XXX/objects/:XXX/presigned-url,"internal implementation (hand-built request object, no named function)","uploadObject() step 1/2 (step 2 PUTs the file straight to the presigned URL, not a Clever Cloud API call)",UNKNOWN (not found in command source tree or openapi/commands inventory - verify manually),yes (no command implementation found for this endpoint),
